2026-02-24 03:50:22,332 p=88147 u=root n=ansible | PLAY [Setup single-node Kubernetes cluster] ***********************************************************************************************************************************
2026-02-24 03:50:22,344 p=88147 u=root n=ansible | TASK [Gathering Facts] ********************************************************************************************************************************************************
2026-02-24 03:50:23,946 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:23,973 p=88147 u=root n=ansible | TASK [Disable swap immediately] ***********************************************************************************************************************************************
2026-02-24 03:50:24,492 p=88147 u=root n=ansible | changed: [localhost]
2026-02-24 03:50:24,503 p=88147 u=root n=ansible | TASK [Remove swap from fstab] *************************************************************************************************************************************************
2026-02-24 03:50:24,960 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:24,972 p=88147 u=root n=ansible | TASK [Load kernel modules] ****************************************************************************************************************************************************
2026-02-24 03:50:25,386 p=88147 u=root n=ansible | ok: [localhost] => (item=overlay)
2026-02-24 03:50:25,655 p=88147 u=root n=ansible | ok: [localhost] => (item=br_netfilter)
2026-02-24 03:50:25,672 p=88147 u=root n=ansible | TASK [Persist kernel modules] *************************************************************************************************************************************************
2026-02-24 03:50:26,571 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:26,584 p=88147 u=root n=ansible | TASK [Set sysctl parameters] **************************************************************************************************************************************************
2026-02-24 03:50:27,111 p=88147 u=root n=ansible | ok: [localhost] => (item={'key': 'net.bridge.bridge-nf-call-iptables', 'value': '1'})
2026-02-24 03:50:27,389 p=88147 u=root n=ansible | ok: [localhost] => (item={'key': 'net.bridge.bridge-nf-call-ip6tables', 'value': '1'})
2026-02-24 03:50:27,679 p=88147 u=root n=ansible | ok: [localhost] => (item={'key': 'net.ipv4.ip_forward', 'value': '1'})
2026-02-24 03:50:27,691 p=88147 u=root n=ansible | TASK [Install prerequisites for Docker repo] **********************************************************************************************************************************
2026-02-24 03:50:30,715 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:30,728 p=88147 u=root n=ansible | TASK [Create keyrings directory] **********************************************************************************************************************************************
2026-02-24 03:50:31,047 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:31,059 p=88147 u=root n=ansible | TASK [Add Docker GPG key] *****************************************************************************************************************************************************
2026-02-24 03:50:31,350 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:31,362 p=88147 u=root n=ansible | TASK [Add Docker apt repository] **********************************************************************************************************************************************
2026-02-24 03:50:31,914 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:31,926 p=88147 u=root n=ansible | TASK [Install containerd.io] **************************************************************************************************************************************************
2026-02-24 03:50:34,544 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:34,556 p=88147 u=root n=ansible | TASK [Generate default containerd config] *************************************************************************************************************************************
2026-02-24 03:50:34,846 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:34,858 p=88147 u=root n=ansible | TASK [Enable SystemdCgroup in containerd config] ******************************************************************************************************************************
2026-02-24 03:50:35,145 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:35,158 p=88147 u=root n=ansible | TASK [Restart and enable containerd] ******************************************************************************************************************************************
2026-02-24 03:50:36,843 p=88147 u=root n=ansible | changed: [localhost]
2026-02-24 03:50:36,860 p=88147 u=root n=ansible | TASK [Add Kubernetes GPG key] *************************************************************************************************************************************************
2026-02-24 03:50:37,161 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:37,174 p=88147 u=root n=ansible | TASK [Add Kubernetes apt repository] ******************************************************************************************************************************************
2026-02-24 03:50:37,789 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:37,803 p=88147 u=root n=ansible | TASK [Install kubeadm, kubelet, kubectl] **************************************************************************************************************************************
2026-02-24 03:50:40,566 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:40,579 p=88147 u=root n=ansible | TASK [Hold Kubernetes packages] ***********************************************************************************************************************************************
2026-02-24 03:50:41,068 p=88147 u=root n=ansible | ok: [localhost] => (item=kubeadm)
2026-02-24 03:50:41,329 p=88147 u=root n=ansible | ok: [localhost] => (item=kubelet)
2026-02-24 03:50:41,615 p=88147 u=root n=ansible | ok: [localhost] => (item=kubectl)
2026-02-24 03:50:41,631 p=88147 u=root n=ansible | TASK [Check if Kubernetes is already initialized] *****************************************************************************************************************************
2026-02-24 03:50:41,965 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:41,980 p=88147 u=root n=ansible | TASK [Initialize Kubernetes cluster] ******************************************************************************************************************************************
2026-02-24 03:50:42,003 p=88147 u=root n=ansible | skipping: [localhost]
2026-02-24 03:50:42,016 p=88147 u=root n=ansible | TASK [Create .kube directory for root] ****************************************************************************************************************************************
2026-02-24 03:50:42,312 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:42,324 p=88147 u=root n=ansible | TASK [Copy kubeconfig to root] ************************************************************************************************************************************************
2026-02-24 03:50:42,817 p=88147 u=root n=ansible | ok: [localhost]
2026-02-24 03:50:42,830 p=88147 u=root n=ansible | TASK [Install Flannel CNI] ****************************************************************************************************************************************************
2026-02-24 03:50:44,107 p=88147 u=root n=ansible | changed: [localhost]
2026-02-24 03:50:44,121 p=88147 u=root n=ansible | TASK [Get control-plane node name] ********************************************************************************************************************************************
2026-02-24 03:50:44,650 p=88147 u=root n=ansible | changed: [localhost]
2026-02-24 03:50:44,662 p=88147 u=root n=ansible | TASK [Untaint control-plane node] *********************************************************************************************************************************************
2026-02-24 03:50:45,151 p=88147 u=root n=ansible | changed: [localhost]
2026-02-24 03:50:45,163 p=88147 u=root n=ansible | TASK [Install Rancher local-path-provisioner] *********************************************************************************************************************************
2026-02-24 03:50:46,545 p=88147 u=root n=ansible | changed: [localhost]
2026-02-24 03:50:46,558 p=88147 u=root n=ansible | TASK [Set local-path as default StorageClass] *********************************************************************************************************************************
2026-02-24 03:50:47,042 p=88147 u=root n=ansible | changed: [localhost]
